farmer_id;market_id;transaction_date;amount;name;creation_date;title;category;worker_id;extra_info;market_type
8;199;2020-07-23;3870;Garcia-Lawson;2024-11-18;Before;around;;;Mercado de Fruta
386;802;2020-07-05;4443;Hayden-Ellis;2026-01-01;Institution;among;;;Mercado de Fruta
327;382;2021-02-06;4922;Mills, Mclaughlin and Smith;2026-02-09;Political;Democrat;66.0;certainly;Mercado de Fruta
297;737;2023-09-02;2529;Martin-Stuart;2023-04-09;Cell;may;;;Mercado de Legumes
240;457;2022-03-04;2733;Cannon-Newman;2024-02-03;Either;late;31.0;coach;Mercado de Fruta
38;738;2024-03-30;119;Moore LLC;2022-08-15;Method;away;;;Mercado de Flores
184;523;2023-04-03;4461;Moore, Lopez and Santos;2021-12-10;Industry;buy;;;Mercado de Fruta
120;299;2022-12-25;444;Mcdaniel-Garza;2022-08-16;General;parent;;;Mercado de Legumes
127;914;2025-08-30;1794;Hill PLC;2025-05-30;Study;choose;73.0;Congress;Mercado de Legumes
399;200;2021-01-18;1727;Scott Group;2021-11-11;Image;those;84.0;page;Mercado de Legumes
108;346;2022-04-15;1325;Mejia Ltd;2021-06-22;Wrong;task;;;Mercado de Fruta
346;568;2022-12-15;130;Paul, Stewart and Pierce;2024-08-13;Wonder;bag;44.0;house;Mercado de Fruta
121;681;2020-11-28;4008;Ruiz, Miller and Giles;2023-10-05;Blue;window;;;Mercado de Flores
499;605;2021-03-06;1053;Jacobs, Johnson and Clark;2022-01-05;Do;large;9.0;piece;Mercado de Legumes
499;605;2021-03-06;1053;Jacobs, Johnson and Clark;2022-01-05;Do;large;43.0;here;Mercado de Legumes
420;203;2021-03-05;4036;Brooks Ltd;2021-05-23;Wind;stock;;;Mercado de Legumes
296;704;2021-08-02;3832;Coleman-Reyes;2025-07-26;Defense;star;83.0;responsibility;Mercado de Legumes
296;704;2021-08-02;3832;Coleman-Reyes;2025-07-26;Defense;star;145.0;somebody;Mercado de Legumes
396;498;2023-08-26;2454;Mclaughlin Inc;2023-12-02;Boy;though;;;Mercado de Flores
468;528;2022-06-23;298;Crawford, Barnes and Aguilar;2021-04-19;Some;must;;;Mercado de Flores
480;31;2025-04-30;672;Jones-Chavez;2022-10-24;Security;marriage;99.0;then;Mercado de Fruta
480;31;2025-04-30;672;Jones-Chavez;2022-10-24;Security;marriage;131.0;religious;Mercado de Fruta
119;897;2023-08-23;2368;Shelton, Odonnell and Williams;2022-11-17;Eat;growth;;;Mercado de Flores
492;445;2020-03-01;4100;Lyons, Gomez and Oconnor;2021-04-27;Like;parent;;;Mercado de Fruta
234;93;2023-06-22;236;Yates LLC;2025-03-18;Nearly;whom;87.0;audience;Mercado de Flores
234;93;2023-06-22;236;Yates LLC;2025-03-18;Nearly;whom;164.0;where;Mercado de Flores
323;110;2026-02-04;4225;Cummings and Sons;2022-10-22;Our;manage;;;Mercado de Legumes
470;977;2022-07-31;2784;Ray, Hall and Graves;2024-05-10;Decision;off;;;Mercado de Legumes
154;548;2024-01-31;2017;Coffey, Hodges and Tanner;2024-09-16;Drug;last;179.0;democratic;Mercado de Legumes
154;548;2024-01-31;2017;Coffey, Hodges and Tanner;2024-09-16;Drug;last;189.0;kind;Mercado de Legumes
91;673;2022-09-08;3976;Lee-Osborne;2023-03-17;Night;continue;;;Mercado de Fruta
321;347;2020-07-12;3504;Frost-Wolfe;2023-12-28;Speak;far;;;Mercado de Legumes
470;623;2021-06-06;3552;Ray, Hall and Graves;2024-05-10;Art;from;;;Mercado de Legumes
497;581;2021-11-28;4531;Bowers-Townsend;2022-08-31;Similar;small;;;Mercado de Legumes
30;427;2021-02-20;1065;Vargas, Santiago and Mcdonald;2024-10-25;Task;education;;;Mercado de Fruta
482;651;2026-01-01;3486;Stout Inc;2023-05-30;Street;recently;;;Mercado de Flores
285;610;2021-09-21;3034;English-Williams;2023-09-29;To;bad;;;Mercado de Fruta
324;605;2020-01-18;2292;Pearson-Dean;2022-05-18;Do;large;;;Mercado de Legumes
367;759;2020-08-24;562;Waters Inc;2025-12-04;Own;recognize;;;Mercado de Flores
155;19;2026-01-21;3209;Harris-Travis;2023-09-23;Social;message;;;Mercado de Fruta
61;858;2022-04-01;1615;Stewart, Hopkins and Williams;2021-12-31;Coach;concern;;;Mercado de Flores
438;280;2023-10-03;3661;Reed, Vega and Ho;2022-04-05;Stock;civil;42.0;seem;Mercado de Fruta
117;70;2022-06-08;2923;Avila, Duke and Medina;2024-04-05;Official;almost;184.0;specific;Mercado de Fruta
136;230;2021-05-05;1961;Knight Group;2025-03-11;Theory;study;;;Mercado de Legumes
319;428;2025-04-17;1485;Lee-White;2022-01-14;Any;front;;;Mercado de Legumes
490;694;2025-01-17;2439;Pruitt-Young;2021-04-13;Again;nature;;;Mercado de Fruta
37;336;2021-06-20;379;Meyer-Kim;2022-04-17;Unit;list;40.0;do;Mercado de Flores
280;636;2023-07-14;3756;Fitzgerald, Good and Curtis;2021-09-14;Second;arrive;68.0;glass;Mercado de Flores
280;636;2023-07-14;3756;Fitzgerald, Good and Curtis;2021-09-14;Second;arrive;186.0;ball;Mercado de Flores
191;652;2020-09-02;2454;Cross, Skinner and Hart;2022-12-01;Thought;provide;;;Mercado de Fruta
115;30;2022-09-27;544;Johnson, Brennan and Wright;2025-01-01;Maybe;system;183.0;feeling;Mercado de Flores
116;622;2020-11-12;1836;Williams, Anderson and Lopez;2025-02-13;Reflect;position;28.0;difference;Mercado de Fruta
333;131;2024-02-03;4962;Robinson, Riddle and Reese;2024-10-16;Generation;work;;;Mercado de Legumes
26;334;2023-01-06;999;Barron, Dodson and Baker;2024-07-08;Tree;certain;;;Mercado de Fruta
52;161;2021-10-14;3004;Hess PLC;2022-07-05;Participant;no;112.0;that;Mercado de Legumes
20;923;2023-10-17;3946;Wilkerson PLC;2021-05-09;Paper;military;116.0;explain;Mercado de Legumes
160;668;2026-02-17;352;Marshall and Sons;2024-12-11;Assume;argue;63.0;sit;Mercado de Legumes
58;34;2023-02-06;3501;Campos, Manning and Johnson;2021-09-03;Party;speak;;;Mercado de Fruta
130;928;2023-11-29;4094;Chase PLC;2024-06-12;These;reveal;;;Mercado de Fruta
145;479;2020-02-24;2647;Weaver Ltd;2021-10-16;Floor;organization;;;Mercado de Legumes
283;763;2020-07-06;390;Nguyen-Patterson;2023-01-09;Front;former;;;Mercado de Fruta
467;844;2023-01-31;834;Wilson PLC;2021-12-24;Southern;thus;;;Mercado de Fruta
125;572;2025-03-07;3627;Rice, Freeman and Brown;2024-12-11;Player;million;115.0;reality;Mercado de Legumes
265;363;2020-01-07;4063;Baker-Wheeler;2021-11-02;Again;large;;;Mercado de Flores
466;810;2020-03-22;2914;Hernandez-Lynch;2022-02-27;Music;expect;;;Mercado de Flores
441;654;2024-05-26;155;Mclaughlin, Hernandez and Fitzpatrick;2025-05-27;Everyone;sound;;;Mercado de Flores
423;201;2023-06-24;750;Goodman-Hayes;2024-12-18;Senior;many;;;Mercado de Flores
181;594;2022-01-12;1633;Jackson, Munoz and Guzman;2025-04-01;Sure;fight;;;Mercado de Flores
219;741;2025-05-18;1398;Adams-Ferguson;2024-08-20;Member;other;151.0;event;Mercado de Flores
407;800;2025-12-29;396;Ford, Spencer and Copeland;2021-10-25;Account;whom;;;Mercado de Legumes
84;727;2022-02-08;2996;Daniels LLC;2023-11-15;Threat;soon;;;Mercado de Fruta
184;319;2022-12-16;1796;Moore, Lopez and Santos;2021-12-10;Green;almost;;;Mercado de Fruta
125;823;2022-10-07;4866;Rice, Freeman and Brown;2024-12-11;Music;certainly;115.0;reality;Mercado de Fruta
209;935;2023-08-03;3607;Savage, Tran and Atkins;2021-10-19;Alone;science;;;Mercado de Legumes
176;213;2025-09-30;1263;Schaefer-Brooks;2021-04-09;Despite;environment;;;Mercado de Flores
482;368;2021-08-27;2323;Stout Inc;2023-05-30;Challenge;instead;;;Mercado de Legumes
238;523;2021-04-22;126;Whitney, Kim and Moore;2025-02-23;Industry;buy;;;Mercado de Fruta
29;693;2024-06-05;276;Mills Group;2024-12-01;Entire;personal;37.0;sister;Mercado de Flores
29;693;2024-06-05;276;Mills Group;2024-12-01;Entire;personal;174.0;might;Mercado de Flores
231;473;2020-03-27;4403;Griffin PLC;2021-03-20;Chair;choose;;;Mercado de Legumes
473;682;2020-09-29;2021;Brock PLC;2024-01-10;Wrong;organization;;;Mercado de Fruta
345;821;2025-03-15;990;Perez-Shannon;2023-09-04;Create;change;;;Mercado de Legumes
331;316;2022-05-15;871;Lawrence Inc;2023-06-02;Where;so;149.0;service;Mercado de Fruta
487;91;2025-07-14;878;Martin, Mosley and York;2022-04-29;South;system;;;Mercado de Fruta
134;304;2020-06-30;693;Riddle-Jones;2023-07-15;Charge;this;;;Mercado de Fruta
219;309;2025-09-27;4615;Adams-Ferguson;2024-08-20;Social;shake;151.0;event;Mercado de Flores
252;372;2021-12-19;3021;Mitchell, Phillips and Marshall;2024-10-27;Now;fear;105.0;partner;Mercado de Flores
221;880;2022-11-08;4197;Gardner Group;2024-11-05;Produce;television;41.0;big;Mercado de Fruta
416;537;2022-02-10;1811;Richardson LLC;2022-12-31;Skin;you;;;Mercado de Flores
18;710;2023-03-12;2040;Ford-Garrett;2025-06-05;Name;ball;;;Mercado de Legumes
84;213;2024-08-09;424;Daniels LLC;2023-11-15;Despite;environment;;;Mercado de Flores
464;77;2021-12-26;2191;Morris Ltd;2021-10-01;Class;city;;;Mercado de Legumes
100;482;2021-10-09;3980;Brown PLC;2025-07-17;Manager;behavior;;;Mercado de Legumes
231;932;2023-05-06;3579;Griffin PLC;2021-03-20;Rule;about;;;Mercado de Legumes
144;965;2025-03-16;4874;Mercado-Thomas;2024-04-11;Crime;simple;103.0;need;Mercado de Legumes
83;443;2025-05-06;2020;Graham LLC;2022-11-25;Several;hand;154.0;tree;Mercado de Legumes
433;330;2025-03-21;250;Ballard-Orozco;2024-02-08;Because;now;136.0;of;Mercado de Flores
386;379;2023-10-07;2707;Hayden-Ellis;2026-01-01;Somebody;born;;;Mercado de Fruta
175;578;2022-06-28;279;Alvarado, Cobb and Dillon;2023-09-19;Sister;party;85.0;over;Mercado de Legumes
460;902;2022-11-13;332;Davenport-Cook;2021-03-09;All;way;;;Mercado de Legumes
262;905;2023-04-13;578;Williams and Sons;2023-12-20;Economic;meet;;;Mercado de Legumes
218;426;2020-11-13;3171;Olson Inc;2026-01-06;Fly;commercial;;;Mercado de Flores
424;295;2023-12-29;3056;Lopez-Palmer;2024-08-05;Subject;order;;;Mercado de Fruta
482;820;2025-07-22;3603;Stout Inc;2023-05-30;Buy;focus;;;Mercado de Fruta
310;117;2025-05-31;1656;Turner, Bowman and Williams;2021-08-06;It;senior;;;Mercado de Flores
491;179;2021-11-06;3622;Smith LLC;2025-01-19;Level;drop;156.0;hair;Mercado de Legumes
491;179;2021-11-06;3622;Smith LLC;2025-01-19;Level;drop;172.0;moment;Mercado de Legumes
247;514;2025-01-15;2009;Rivera Group;2021-12-30;Head;wife;197.0;possible;Mercado de Fruta
88;227;2021-01-06;3161;Brewer Ltd;2023-01-19;Still;religious;;;Mercado de Legumes
329;915;2024-10-01;4238;Miller LLC;2023-07-20;Number;Congress;35.0;mean;Mercado de Flores
182;991;2023-01-12;3001;Moore, Rivera and Nguyen;2024-06-18;Meeting;trial;;;Mercado de Fruta
135;124;2020-03-03;717;Williams-Smith;2021-11-26;Find;how;;;Mercado de Fruta
352;791;2020-03-24;3220;Brewer-Willis;2024-10-10;Project;become;;;Mercado de Legumes
423;586;2023-12-11;2588;Goodman-Hayes;2024-12-18;Fact;receive;;;Mercado de Fruta
92;241;2024-07-12;3469;Perez-Robinson;2024-12-31;True;summer;;;Mercado de Fruta
380;680;2022-11-07;1862;Hill, Brown and Clark;2023-05-13;Score;tell;;;Mercado de Legumes
305;726;2023-05-26;2181;Johnson-Hunter;2023-04-03;Occur;rest;;;Mercado de Flores
471;310;2024-02-02;3597;Mason-Rogers;2025-10-13;Wind;situation;;;Mercado de Fruta
153;921;2022-08-12;859;Wilson, Spears and Mitchell;2025-04-21;Life;image;79.0;image;Mercado de Flores
317;152;2020-04-21;2658;Snyder and Sons;2021-07-03;Behind;door;;;Mercado de Legumes
253;308;2021-10-16;635;Kelley Ltd;2023-12-20;May;rock;;;Mercado de Legumes
267;76;2020-04-16;3613;Wagner Inc;2022-03-29;Black;across;;;Mercado de Fruta
314;333;2021-05-12;1820;Moody LLC;2024-10-26;To;watch;;;Mercado de Flores
72;802;2024-04-30;4099;Crane-Torres;2022-06-18;Institution;among;86.0;school;Mercado de Fruta
300;446;2023-08-15;624;Saunders-Marshall;2022-10-25;Painting;take;;;Mercado de Legumes
149;879;2020-06-06;1998;Sawyer LLC;2026-01-27;Manager;ok;;;Mercado de Flores
149;408;2024-11-25;885;Sawyer LLC;2026-01-27;Agree;represent;;;Mercado de Flores
161;808;2024-10-05;2111;Mays-Harmon;2022-10-23;Because;material;;;Mercado de Fruta
165;321;2022-08-04;1985;Williams, Griffith and Craig;2025-01-08;Financial;detail;39.0;away;Mercado de Flores
50;336;2022-05-02;4196;Maldonado and Sons;2021-06-01;Unit;list;;;Mercado de Flores
132;952;2020-10-05;413;Branch and Sons;2021-12-10;Religious;positive;69.0;exist;Mercado de Fruta
282;895;2020-10-14;3562;Wilson LLC;2025-01-17;North;discussion;130.0;billion;Mercado de Fruta
282;895;2020-10-14;3562;Wilson LLC;2025-01-17;North;discussion;167.0;wonder;Mercado de Fruta
343;382;2023-12-10;3220;Stone, Romero and Walton;2022-02-19;Political;Democrat;;;Mercado de Fruta
41;44;2025-03-08;4851;Stephenson-Lee;2025-10-15;Ready;level;;;Mercado de Legumes
175;651;2021-11-07;305;Alvarado, Cobb and Dillon;2023-09-19;Street;recently;85.0;over;Mercado de Flores
433;303;2025-01-20;3373;Ballard-Orozco;2024-02-08;Either;whom;136.0;of;Mercado de Flores
419;224;2021-01-22;4269;Johnson, Hamilton and Price;2023-10-29;Rather;source;;;Mercado de Legumes
58;352;2024-09-12;1196;Campos, Manning and Johnson;2021-09-03;Before;minute;;;Mercado de Fruta
265;169;2022-06-11;4182;Baker-Wheeler;2021-11-02;Light;scene;;;Mercado de Fruta
500;586;2022-01-08;307;Johnson-Anderson;2024-01-02;Fact;receive;;;Mercado de Fruta
366;370;2024-12-07;529;Martinez-West;2024-04-10;Nice;adult;125.0;add;Mercado de Fruta
333;716;2025-07-17;3353;Robinson, Riddle and Reese;2024-10-16;Gas;enough;;;Mercado de Legumes
37;557;2022-05-02;2787;Meyer-Kim;2022-04-17;Heavy;order;40.0;do;Mercado de Legumes
412;710;2024-04-28;3573;Young Ltd;2021-10-29;Name;ball;;;Mercado de Legumes
82;686;2021-11-22;3623;Perez PLC;2022-08-24;Difference;black;;;Mercado de Legumes
253;492;2020-04-12;2952;Kelley Ltd;2023-12-20;Against;hold;;;Mercado de Flores
225;210;2022-06-04;4203;Bradley-Phillips;2021-10-31;Low;feel;;;Mercado de Flores
29;45;2020-06-20;1462;Mills Group;2024-12-01;Still;whose;37.0;sister;Mercado de Flores
29;45;2020-06-20;1462;Mills Group;2024-12-01;Still;whose;174.0;might;Mercado de Flores
41;771;2020-05-07;1872;Stephenson-Lee;2025-10-15;Stuff;mother;;;Mercado de Flores
467;12;2024-08-15;2123;Wilson PLC;2021-12-24;Not;Congress;;;Mercado de Flores
331;319;2024-03-09;2434;Lawrence Inc;2023-06-02;Green;almost;149.0;service;Mercado de Fruta
389;377;2024-04-15;490;Snyder, Reese and Wagner;2021-07-04;Structure;debate;102.0;as;Mercado de Legumes
391;638;2021-05-31;3780;Travis PLC;2023-06-04;Material;care;;;Mercado de Legumes
140;319;2020-01-10;1963;Woodard PLC;2021-04-23;Green;almost;;;Mercado de Fruta
423;356;2023-12-19;1365;Goodman-Hayes;2024-12-18;Left;although;;;Mercado de Legumes
228;732;2022-01-23;3535;Butler PLC;2021-05-21;Test;type;;;Mercado de Flores
170;1;2023-10-30;4881;Collins-Campos;2025-06-15;Effect;else;;;Mercado de Fruta
387;876;2021-12-17;979;Smith Group;2022-08-12;End;table;15.0;Mrs;Mercado de Flores
387;876;2021-12-17;979;Smith Group;2022-08-12;End;table;65.0;window;Mercado de Flores
96;897;2024-02-22;707;Sosa, Newton and Anderson;2022-05-18;Eat;growth;;;Mercado de Flores
270;507;2025-07-19;3544;Knight-Alexander;2023-05-25;Space;none;175.0;practice;Mercado de Flores
187;322;2021-03-08;4916;Hanson, White and Jackson;2024-06-25;Democrat;serve;;;Mercado de Fruta
269;297;2025-04-23;1537;Garcia, Velasquez and James;2024-10-15;Ball;senior;;;Mercado de Flores
338;962;2025-07-11;650;Brown Ltd;2025-02-19;Reflect;write;;;Mercado de Legumes
434;693;2023-07-20;1262;Reyes LLC;2023-06-10;Entire;personal;;;Mercado de Flores
457;61;2025-09-29;2798;Olsen LLC;2024-01-29;Everybody;stay;;;Mercado de Fruta
336;557;2020-11-03;2170;Michael and Sons;2022-10-12;Heavy;order;;;Mercado de Legumes
170;103;2023-08-12;1183;Collins-Campos;2025-06-15;Sound;window;;;Mercado de Fruta
400;417;2020-05-18;2635;Davis Group;2024-10-27;Agreement;girl;13.0;coach;Mercado de Flores
498;210;2021-12-16;1446;Walker-Kirk;2024-03-19;Low;feel;;;Mercado de Flores
91;632;2025-12-25;1266;Lee-Osborne;2023-03-17;Ok;adult;;;Mercado de Legumes
185;120;2020-06-05;3248;Jennings PLC;2024-02-10;Several;blue;;;Mercado de Flores
430;8;2024-07-09;2936;Guerrero-Hernandez;2024-02-11;Thus;allow;146.0;amount;Mercado de Legumes
244;445;2021-06-27;3778;Perez Ltd;2024-11-05;Like;parent;;;Mercado de Fruta
78;631;2023-10-20;649;Douglas and Sons;2025-06-07;Product;audience;;;Mercado de Fruta
411;276;2020-04-10;4100;Howard-Gomez;2021-12-18;Prevent;if;62.0;care;Mercado de Flores
500;908;2024-06-26;3646;Johnson-Anderson;2024-01-02;Lawyer;outside;;;Mercado de Legumes
400;57;2024-01-14;3713;Davis Group;2024-10-27;Step;decide;13.0;coach;Mercado de Flores
78;841;2023-03-06;3295;Douglas and Sons;2025-06-07;Relationship;site;;;Mercado de Fruta
60;109;2022-11-30;4535;Brown, Ortega and Moran;2023-07-07;Degree;one;;;Mercado de Fruta
151;344;2026-02-08;3140;Duncan PLC;2023-08-10;Piece;million;;;Mercado de Legumes
98;745;2023-11-10;4922;Riley, Dunn and Mccarty;2024-07-30;Large;nature;;;Mercado de Fruta
47;450;2025-10-19;307;Benjamin-Reed;2024-09-25;Study;personal;;;Mercado de Flores
268;359;2020-07-06;1063;Taylor Inc;2022-03-26;Market;sister;;;Mercado de Legumes
137;754;2023-09-10;3612;Gray, Kim and Doyle;2023-09-10;Professor;despite;;;Mercado de Fruta
113;131;2023-02-20;1818;Beasley and Sons;2022-12-28;Generation;work;;;Mercado de Legumes
20;950;2021-01-05;2584;Wilkerson PLC;2021-05-09;Entire;level;116.0;explain;Mercado de Legumes
123;454;2025-04-05;2710;Rivas LLC;2024-11-01;To;around;54.0;million;Mercado de Fruta
123;454;2025-04-05;2710;Rivas LLC;2024-11-01;To;around;108.0;office;Mercado de Fruta
229;699;2023-10-31;3568;Johnson, Sanders and Lam;2021-09-13;Yes;explain;;;Mercado de Flores
392;483;2022-03-31;3106;Nelson-Donaldson;2024-05-14;Lead;chair;107.0;sense;Mercado de Flores
184;213;2022-09-13;2578;Moore, Lopez and Santos;2021-12-10;Despite;environment;;;Mercado de Flores
360;783;2023-05-25;511;Harris-Stephens;2024-08-29;Certain;office;48.0;rate;Mercado de Flores
152;872;2021-08-20;1988;Schultz-Glass;2023-06-16;Lot;kitchen;118.0;western;Mercado de Legumes
285;87;2024-09-21;3891;English-Williams;2023-09-29;Early;my;;;Mercado de Flores
272;400;2022-05-31;940;Barrett PLC;2022-06-07;Season;whatever;;;Mercado de Fruta
358;365;2023-01-13;3677;Mccormick and Sons;2023-11-06;Main;thank;24.0;during;Mercado de Legumes
358;365;2023-01-13;3677;Mccormick and Sons;2023-11-06;Main;thank;138.0;democratic;Mercado de Legumes
476;848;2022-04-29;3635;Johnson-Curtis;2021-06-10;Focus;very;36.0;dream;Mercado de Legumes
170;574;2022-06-03;3079;Collins-Campos;2025-06-15;Down;serve;;;Mercado de Fruta
121;257;2021-02-19;1629;Ruiz, Miller and Giles;2023-10-05;If;participant;;;Mercado de Legumes
322;761;2023-05-15;2016;Elliott Group;2024-07-27;Government;system;;;Mercado de Legumes
21;582;2022-07-03;2476;Williams, Martinez and Gentry;2021-03-07;Better;no;;;Mercado de Flores
192;321;2021-04-18;1708;Bowman Ltd;2023-10-30;Financial;detail;;;Mercado de Flores
468;690;2024-10-15;861;Crawford, Barnes and Aguilar;2021-04-19;Modern;strategy;;;Mercado de Flores
192;859;2024-06-14;610;Bowman Ltd;2023-10-30;Room;PM;;;Mercado de Fruta
127;44;2024-10-18;1009;Hill PLC;2025-05-30;Ready;level;73.0;Congress;Mercado de Legumes
191;129;2023-03-19;236;Cross, Skinner and Hart;2022-12-01;Way;but;;;Mercado de Flores
181;841;2020-06-17;3735;Jackson, Munoz and Guzman;2025-04-01;Relationship;site;;;Mercado de Fruta
327;220;2021-09-12;650;Mills, Mclaughlin and Smith;2026-02-09;Plan;case;66.0;certainly;Mercado de Fruta
325;809;2023-03-06;3349;Barrett Group;2022-12-07;Maybe;thousand;;;Mercado de Legumes
438;960;2020-07-02;3882;Reed, Vega and Ho;2022-04-05;Seem;west;42.0;seem;Mercado de Flores
320;318;2021-02-05;937;Perez, Long and Spencer;2025-10-29;Expect;actually;;;Mercado de Flores
71;131;2022-06-02;1439;Krueger, Trujillo and Gonzalez;2022-01-15;Generation;work;;;Mercado de Legumes
141;894;2022-01-03;411;Gordon LLC;2022-04-11;Camera;field;;;Mercado de Flores
56;796;2023-05-25;335;Wheeler-Blackburn;2025-06-13;Prevent;evidence;1.0;move;Mercado de Fruta
56;796;2023-05-25;335;Wheeler-Blackburn;2025-06-13;Prevent;evidence;132.0;sort;Mercado de Fruta
405;528;2025-01-18;1564;Valenzuela-Meyer;2024-09-09;Some;must;;;Mercado de Flores
413;160;2021-06-14;1472;Shelton Inc;2024-03-19;Production;far;;;Mercado de Fruta
77;65;2024-09-28;2702;Carter PLC;2024-11-13;Unit;day;;;Mercado de Legumes
409;994;2024-10-27;4384;Long Ltd;2024-03-21;Claim;product;;;Mercado de Fruta
52;701;2025-01-27;4170;Hess PLC;2022-07-05;Important;stock;112.0;that;Mercado de Legumes
362;61;2023-10-08;3613;Mccullough-Mckinney;2024-11-08;Everybody;stay;94.0;all;Mercado de Fruta
362;61;2023-10-08;3613;Mccullough-Mckinney;2024-11-08;Everybody;stay;157.0;environment;Mercado de Fruta
60;685;2026-01-17;1723;Brown, Ortega and Moran;2023-07-07;Ask;good;;;Mercado de Fruta
391;590;2020-11-11;637;Travis PLC;2023-06-04;Team;day;;;Mercado de Legumes
438;552;2025-11-28;1348;Reed, Vega and Ho;2022-04-05;Choose;natural;42.0;seem;Mercado de Flores
430;588;2025-06-24;814;Guerrero-Hernandez;2024-02-11;Wear;region;146.0;amount;Mercado de Flores
35;544;2021-09-06;1064;Nolan, Jones and Gordon;2021-04-03;Team;they;61.0;record;Mercado de Fruta
184;226;2025-08-02;1771;Moore, Lopez and Santos;2021-12-10;Oil;his;;;Mercado de Fruta
308;57;2025-01-25;1606;Jones, Harrington and Herrera;2024-03-21;Step;decide;;;Mercado de Flores
96;330;2023-01-23;2278;Sosa, Newton and Anderson;2022-05-18;Because;now;;;Mercado de Flores
110;111;2025-07-15;1058;Price Inc;2025-10-27;Season;behind;121.0;what;Mercado de Flores
485;413;2023-01-11;2049;Allen and Sons;2023-06-18;Really;traditional;;;Mercado de Legumes
425;611;2022-08-26;4291;Sims PLC;2023-09-28;Career;rate;58.0;different;Mercado de Legumes
425;611;2022-08-26;4291;Sims PLC;2023-09-28;Career;rate;193.0;exactly;Mercado de Legumes
425;611;2022-08-26;4291;Sims PLC;2023-09-28;Career;rate;196.0;personal;Mercado de Legumes
400;143;2025-01-04;1521;Davis Group;2024-10-27;Film;could;13.0;coach;Mercado de Legumes
480;944;2022-10-03;1268;Jones-Chavez;2022-10-24;Stay;detail;99.0;then;Mercado de Legumes
480;944;2022-10-03;1268;Jones-Chavez;2022-10-24;Stay;detail;131.0;religious;Mercado de Legumes
